Security,GUKG2    Index                                                  ,
Start Date,30/12/1999 00:00,
End Date,02/08/2016 00:00,
Period,D,
,,
Date,PX_BID,PX_LAST
16/12/2002,3.925,3.925
13/12/2002,3.903,3.903
12/12/2002,3.905,3.905
11/12/2002,3.963,3.963
10/12/2002,3.959,3.959
09/12/2002,3.976,3.976
06/12/2002,4.037,4.037
05/12/2002,4.104,4.104
04/12/2002,4.14,4.14
03/12/2002,4.16,4.16
02/12/2002,4.2,4.2
29/11/2002,4.16,4.16
28/11/2002,4.18,4.18
27/11/2002,4.12,4.12
26/11/2002,4.04,4.04
25/11/2002,4.07,4.07
22/11/2002,4.06,4.06
21/11/2002,4.05,4.05
20/11/2002,3.96,3.96
19/11/2002,3.98,3.98
18/11/2002,3.99,3.99
15/11/2002,3.96,3.96
14/11/2002,3.96,3.96
13/11/2002,3.91,3.91
12/11/2002,3.89,3.89
11/11/2002,3.9,3.9
08/11/2002,3.93,3.93
07/11/2002,3.94,3.94
06/11/2002,3.927,3.927
05/11/2002,3.918,3.918
04/11/2002,3.889,3.889
01/11/2002,3.885,3.885
31/10/2002,3.845,3.845
30/10/2002,3.853,3.853
29/10/2002,3.818,3.818
28/10/2002,3.863,3.863
25/10/2002,3.931,3.931
24/10/2002,4.01,4.01
23/10/2002,3.993,3.993
22/10/2002,4.097,4.097
21/10/2002,3.85,3.85
18/10/2002,3.854,3.854
17/10/2002,3.86,3.86
16/10/2002,3.868,3.868
15/10/2002,3.857,3.857
14/10/2002,3.746,3.746
11/10/2002,3.737,3.737
10/10/2002,3.674,3.674
09/10/2002,3.604,3.604
08/10/2002,3.581,3.581
07/10/2002,3.585,3.585
04/10/2002,3.659,3.659
03/10/2002,3.613,3.613
02/10/2002,3.573,3.573
01/10/2002,3.487,3.487
30/09/2002,3.485,3.485
27/09/2002,3.578,3.578
26/09/2002,3.579,3.579
25/09/2002,3.564,3.564
24/09/2002,3.523,3.523
23/09/2002,3.546,3.546
20/09/2002,3.598,3.598
19/09/2002,3.626,3.626
18/09/2002,3.732,3.732
17/09/2002,3.815,3.815
16/09/2002,3.787,3.787
13/09/2002,3.823,3.823
12/09/2002,3.88,3.88
11/09/2002,3.949,3.949
10/09/2002,3.861,3.861
09/09/2002,3.782,3.782
06/09/2002,3.742,3.742
05/09/2002,3.721,3.721
04/09/2002,3.737,3.737
03/09/2002,3.759,3.759
02/09/2002,3.836,3.836
30/08/2002,3.905,3.905
29/08/2002,3.896,3.896
28/08/2002,3.943,3.943
27/08/2002,4.013,4.013
26/08/2002,4.037,4.037
23/08/2002,4.032,4.032
22/08/2002,4.072,4.072
21/08/2002,4.055,4.055
20/08/2002,4.014,4.014
19/08/2002,4.071,4.071
16/08/2002,4.063,4.063
15/08/2002,4.032,4.032
14/08/2002,3.86,3.86
13/08/2002,3.921,3.921
12/08/2002,3.921,3.921
09/08/2002,3.928,3.928
08/08/2002,3.92,3.92
07/08/2002,3.884,3.884
06/08/2002,3.94,3.94
05/08/2002,3.86,3.86
02/08/2002,3.939,3.939
01/08/2002,3.974,3.974
31/07/2002,4.062,4.062
30/07/2002,4.154,4.154
29/07/2002,4.173,4.173
26/07/2002,4.137,4.137
25/07/2002,4.177,4.177
24/07/2002,4.11,4.11
23/07/2002,4.284,4.284
22/07/2002,4.28,4.28
19/07/2002,4.343,4.343
18/07/2002,4.409,4.409
17/07/2002,4.401,4.401
16/07/2002,4.344,4.344
15/07/2002,4.441,4.441
12/07/2002,4.505,4.505
11/07/2002,4.535,4.535
10/07/2002,4.61,4.61
09/07/2002,4.658,4.658
08/07/2002,4.684,4.684
05/07/2002,4.706,4.706
04/07/2002,4.651,4.651
03/07/2002,4.624,4.624
02/07/2002,4.653,4.653
01/07/2002,4.677,4.677
28/06/2002,4.695,4.695
27/06/2002,4.668,4.668
26/06/2002,4.633,4.633
25/06/2002,4.737,4.737
24/06/2002,4.666,4.666
21/06/2002,4.716,4.716
20/06/2002,4.725,4.725
19/06/2002,4.72,4.72
18/06/2002,4.733,4.733
17/06/2002,4.76,4.76
14/06/2002,4.726,4.726
13/06/2002,4.777,4.777
12/06/2002,4.832,4.832
11/06/2002,4.849,4.849
10/06/2002,4.806,4.806
07/06/2002,4.792,4.792
06/06/2002,4.824,4.824
05/06/2002,4.852,4.852
04/06/2002,4.887,4.887
03/06/2002,4.887,4.887
31/05/2002,4.885,4.885
30/05/2002,4.86,4.86
29/05/2002,4.848,4.848
28/05/2002,4.878,4.878
27/05/2002,4.909,4.909
24/05/2002,4.893,4.893
23/05/2002,4.909,4.909
22/05/2002,4.889,4.889
21/05/2002,4.933,4.933
20/05/2002,4.954,4.954
17/05/2002,4.979,4.979
16/05/2002,4.949,4.949
15/05/2002,4.973,4.973
14/05/2002,4.911,4.911
13/05/2002,4.861,4.861
10/05/2002,4.883,4.883
09/05/2002,4.871,4.871
08/05/2002,4.831,4.831
07/05/2002,4.805,4.805
06/05/2002,4.831,4.831
03/05/2002,4.832,4.832
02/05/2002,4.868,4.868
01/05/2002,4.789,4.789
30/04/2002,4.803,4.803
29/04/2002,4.797,4.797
26/04/2002,4.753,4.753
25/04/2002,4.805,4.805
24/04/2002,4.871,4.871
23/04/2002,4.898,4.898
22/04/2002,4.862,4.862
19/04/2002,4.917,4.917
18/04/2002,4.921,4.921
17/04/2002,4.938,4.938
16/04/2002,4.938,4.938
15/04/2002,4.855,4.855
12/04/2002,4.892,4.892
11/04/2002,4.908,4.908
10/04/2002,4.955,4.955
09/04/2002,4.955,4.955
08/04/2002,4.941,4.941
05/04/2002,4.955,4.955
04/04/2002,4.99,4.99
03/04/2002,5.037,5.037
02/04/2002,5.105,5.105
01/04/2002,5.101,5.101
29/03/2002,5.093,5.093
28/03/2002,5.095,5.095
27/03/2002,5.05,5.05
26/03/2002,5.104,5.104
25/03/2002,5.141,5.141
22/03/2002,5.113,5.113
21/03/2002,5.097,5.097
20/03/2002,5.035,5.035
19/03/2002,5.012,5.012
18/03/2002,5.026,5.026
15/03/2002,5.036,5.036
14/03/2002,5.015,5.015
13/03/2002,5.004,5.004
12/03/2002,4.981,4.981
11/03/2002,4.992,4.992
08/03/2002,5.014,5.014
07/03/2002,4.994,4.994
06/03/2002,4.891,4.891
05/03/2002,4.788,4.788
04/03/2002,4.75,4.75
01/03/2002,4.69,4.69
28/02/2002,4.623,4.623
27/02/2002,4.635,4.635
26/02/2002,4.641,4.641
25/02/2002,4.629,4.629
22/02/2002,4.595,4.595
21/02/2002,4.638,4.638
20/02/2002,4.641,4.641
19/02/2002,4.655,4.655
18/02/2002,4.703,4.703
15/02/2002,4.688,4.688
14/02/2002,4.728,4.728
13/02/2002,4.769,4.769
12/02/2002,4.8,4.8
11/02/2002,4.641,4.641
08/02/2002,4.627,4.627
07/02/2002,4.669,4.669
06/02/2002,4.573,4.573
05/02/2002,4.584,4.584
04/02/2002,4.627,4.627
01/02/2002,4.7,4.7
31/01/2002,4.707,4.707
30/01/2002,4.691,4.691
29/01/2002,4.711,4.711
28/01/2002,4.74,4.74
25/01/2002,4.744,4.744
24/01/2002,4.602,4.602
23/01/2002,4.515,4.515
22/01/2002,4.575,4.575
21/01/2002,4.507,4.507
18/01/2002,4.574,4.574
17/01/2002,4.587,4.587
16/01/2002,4.635,4.635
15/01/2002,4.693,4.693
14/01/2002,4.676,4.676
11/01/2002,4.797,4.797
10/01/2002,4.769,4.769
09/01/2002,4.828,4.828
08/01/2002,4.731,4.731
07/01/2002,4.72,4.72
04/01/2002,4.698,4.698
03/01/2002,4.576,4.576
02/01/2002,4.693,4.693
01/01/2002,4.761,4.761
31/12/2001,4.761,4.761
28/12/2001,4.732,4.732
27/12/2001,4.717,4.717
26/12/2001,4.614,4.614
25/12/2001,4.614,4.614
24/12/2001,4.613,4.613
21/12/2001,4.635,4.635
20/12/2001,4.592,4.592
19/12/2001,4.584,4.584
18/12/2001,4.624,4.624
17/12/2001,4.637,4.637
14/12/2001,4.624,4.624
13/12/2001,4.552,4.552
12/12/2001,4.472,4.472
11/12/2001,4.576,4.576
10/12/2001,4.621,4.621
07/12/2001,4.667,4.667
06/12/2001,4.565,4.565
05/12/2001,4.45,4.45
04/12/2001,4.26,4.26
03/12/2001,4.261,4.261
30/11/2001,4.337,4.337
29/11/2001,4.404,4.404
28/11/2001,4.419,4.419
27/11/2001,4.487,4.487
26/11/2001,4.279,4.279
23/11/2001,4.297,4.297
22/11/2001,4.316,4.316
21/11/2001,4.307,4.307
20/11/2001,4.217,4.217
19/11/2001,4.238,4.238
16/11/2001,4.275,4.275
15/11/2001,4.263,4.263
14/11/2001,4.093,4.093
13/11/2001,3.949,3.949
12/11/2001,3.845,3.845
09/11/2001,3.888,3.888
08/11/2001,3.912,3.912
07/11/2001,3.946,3.946
06/11/2001,4.035,4.035
05/11/2001,4.02,4.02
02/11/2001,4.12,4.12
01/11/2001,4.108,4.108
31/10/2001,4.157,4.157
30/10/2001,4.167,4.167
29/10/2001,4.258,4.258
26/10/2001,4.299,4.299
25/10/2001,4.27,4.27
24/10/2001,4.359,4.359
23/10/2001,4.464,4.464
22/10/2001,4.455,4.455
19/10/2001,4.485,4.485
18/10/2001,4.517,4.517
17/10/2001,4.509,4.509
16/10/2001,4.541,4.541
15/10/2001,4.561,4.561
12/10/2001,4.629,4.629
11/10/2001,4.659,4.659
10/10/2001,4.613,4.613
09/10/2001,4.583,4.583
08/10/2001,4.482,4.482
05/10/2001,4.485,4.485
04/10/2001,4.479,4.479
03/10/2001,4.49,4.49
02/10/2001,4.568,4.568
01/10/2001,4.615,4.615
28/09/2001,4.576,4.576
27/09/2001,4.54,4.54
26/09/2001,4.57,4.57
25/09/2001,4.55,4.55
24/09/2001,4.568,4.568
21/09/2001,4.553,4.553
20/09/2001,4.621,4.621
19/09/2001,4.608,4.608
18/09/2001,4.61,4.61
17/09/2001,4.59,4.59
14/09/2001,4.556,4.556
13/09/2001,4.646,4.646
12/09/2001,4.587,4.587
11/09/2001,4.72,4.72
10/09/2001,4.819,4.819
07/09/2001,4.834,4.834
06/09/2001,4.917,4.917
05/09/2001,4.998,4.998
04/09/2001,4.995,4.995
03/09/2001,4.846,4.846
31/08/2001,4.896,4.896
30/08/2001,4.897,4.897
29/08/2001,4.951,4.951
28/08/2001,4.975,4.975
27/08/2001,5.028,5.028
24/08/2001,5.032,5.032
23/08/2001,5.013,5.013
22/08/2001,5.052,5.052
21/08/2001,5.046,5.046
20/08/2001,5.022,5.022
17/08/2001,4.991,4.991
16/08/2001,5.072,5.072
15/08/2001,5.072,5.072
14/08/2001,4.931,4.931
13/08/2001,4.864,4.864
10/08/2001,4.89,4.89
09/08/2001,4.937,4.937
08/08/2001,5.025,5.025
07/08/2001,5.043,5.043
06/08/2001,5.033,5.033
03/08/2001,5.066,5.066
02/08/2001,5.121,5.121
01/08/2001,5.208,5.208
31/07/2001,5.168,5.168
30/07/2001,5.192,5.192
27/07/2001,5.21,5.21
26/07/2001,5.255,5.255
25/07/2001,5.288,5.288
24/07/2001,5.286,5.286
23/07/2001,5.296,5.296
20/07/2001,5.325,5.325
19/07/2001,5.383,5.383
18/07/2001,5.323,5.323
17/07/2001,5.328,5.328
16/07/2001,5.299,5.299
13/07/2001,5.306,5.306
12/07/2001,5.284,5.284
11/07/2001,5.237,5.237
10/07/2001,5.317,5.317
09/07/2001,5.339,5.339
06/07/2001,5.319,5.319
05/07/2001,5.447,5.447
04/07/2001,5.464,5.464
03/07/2001,5.471,5.471
02/07/2001,5.466,5.466
29/06/2001,5.496,5.496
28/06/2001,5.443,5.443
27/06/2001,5.338,5.338
26/06/2001,5.302,5.302
25/06/2001,5.314,5.314
22/06/2001,5.352,5.352
21/06/2001,5.423,5.423
20/06/2001,5.437,5.437
19/06/2001,5.406,5.406
18/06/2001,5.37,5.37
15/06/2001,5.4,5.4
14/06/2001,5.418,5.418
13/06/2001,5.457,5.457
12/06/2001,5.408,5.408
11/06/2001,5.216,5.216
08/06/2001,5.201,5.201
07/06/2001,5.199,5.199
06/06/2001,5.198,5.198
05/06/2001,5.195,5.195
04/06/2001,5.183,5.183
01/06/2001,5.192,5.192
31/05/2001,5.267,5.267
30/05/2001,5.276,5.276
29/05/2001,5.287,5.287
28/05/2001,5.142,5.142
25/05/2001,5.142,5.142
24/05/2001,5.094,5.094
23/05/2001,5.085,5.085
22/05/2001,5.117,5.117
21/05/2001,5.151,5.151
18/05/2001,5.127,5.127
17/05/2001,5.183,5.183
16/05/2001,5.134,5.134
15/05/2001,5.028,5.028
14/05/2001,5.004,5.004
11/05/2001,4.976,4.976
10/05/2001,4.92,4.92
09/05/2001,4.887,4.887
08/05/2001,4.885,4.885
07/05/2001,4.911,4.911
04/05/2001,4.911,4.911
03/05/2001,4.963,4.963
02/05/2001,4.989,4.989
01/05/2001,4.977,4.977
30/04/2001,4.993,4.993
27/04/2001,4.933,4.933
26/04/2001,4.889,4.889
25/04/2001,4.923,4.923
24/04/2001,4.948,4.948
23/04/2001,4.941,4.941
20/04/2001,5.003,5.003
19/04/2001,5.008,5.008
18/04/2001,5.044,5.044
17/04/2001,5.047,5.047
16/04/2001,5.037,5.037
13/04/2001,5.037,5.037
12/04/2001,5.038,5.038
11/04/2001,4.993,4.993
10/04/2001,4.901,4.901
09/04/2001,4.855,4.855
06/04/2001,4.875,4.875
05/04/2001,4.914,4.914
04/04/2001,4.912,4.912
03/04/2001,4.916,4.916
02/04/2001,4.932,4.932
30/03/2001,4.965,4.965
29/03/2001,4.969,4.969
28/03/2001,4.969,4.969
27/03/2001,4.933,4.933
26/03/2001,4.906,4.906
23/03/2001,4.868,4.868
22/03/2001,4.849,4.849
21/03/2001,4.953,4.953
20/03/2001,4.977,4.977
19/03/2001,4.931,4.931
16/03/2001,4.941,4.941
15/03/2001,4.978,4.978
14/03/2001,5.032,5.032
13/03/2001,5.105,5.105
12/03/2001,5.114,5.114
09/03/2001,5.145,5.145
08/03/2001,5.148,5.148
07/03/2001,5.19,5.19
06/03/2001,5.196,5.196
05/03/2001,5.182,5.182
02/03/2001,5.159,5.159
01/03/2001,5.133,5.133
28/02/2001,5.134,5.134
27/02/2001,5.124,5.124
26/02/2001,5.175,5.175
23/02/2001,5.206,5.206
22/02/2001,5.215,5.215
21/02/2001,5.234,5.234
20/02/2001,5.241,5.241
19/02/2001,5.262,5.262
16/02/2001,5.278,5.278
15/02/2001,5.298,5.298
14/02/2001,5.248,5.248
13/02/2001,5.208,5.208
12/02/2001,5.228,5.228
09/02/2001,5.243,5.243
08/02/2001,5.258,5.258
07/02/2001,5.239,5.239
06/02/2001,5.243,5.243
05/02/2001,5.247,5.247
02/02/2001,5.261,5.261
01/02/2001,5.208,5.208
31/01/2001,5.179,5.179
30/01/2001,5.231,5.231
29/01/2001,5.256,5.256
26/01/2001,5.268,5.268
25/01/2001,5.317,5.317
24/01/2001,5.309,5.309
23/01/2001,5.279,5.279
22/01/2001,5.267,5.267
19/01/2001,5.249,5.249
18/01/2001,5.227,5.227
17/01/2001,5.28,5.28
16/01/2001,5.244,5.244
15/01/2001,5.257,5.257
12/01/2001,5.286,5.286
11/01/2001,5.247,5.247
10/01/2001,5.245,5.245
09/01/2001,5.223,5.223
08/01/2001,5.179,5.179
05/01/2001,5.2,5.2
04/01/2001,5.211,5.211
03/01/2001,5.221,5.221
02/01/2001,5.23,5.23
29/12/2000,5.279,5.279
28/12/2000,5.286,5.286
27/12/2000,5.287,5.287
26/12/2000,5.289,5.289
25/12/2000,5.292,5.292
22/12/2000,5.293,5.293
21/12/2000,5.283,5.283
20/12/2000,5.349,5.349
19/12/2000,5.454,5.454
18/12/2000,5.44,5.44
15/12/2000,5.455,5.455
14/12/2000,5.41,5.41
13/12/2000,5.388,5.388
12/12/2000,5.402,5.402
11/12/2000,5.406,5.406
08/12/2000,5.407,5.407
07/12/2000,5.385,5.385
06/12/2000,5.408,5.408
05/12/2000,5.459,5.459
04/12/2000,5.457,5.457
01/12/2000,5.481,5.481
30/11/2000,5.478,5.478
29/11/2000,5.506,5.506
28/11/2000,5.538,5.538
27/11/2000,5.559,5.559
24/11/2000,5.552,5.552
23/11/2000,5.543,5.543
22/11/2000,5.552,5.552
21/11/2000,5.592,5.592
20/11/2000,5.573,5.573
17/11/2000,5.572,5.572
16/11/2000,5.561,5.561
15/11/2000,5.597,5.597
14/11/2000,5.64,5.64
13/11/2000,5.659,5.659
10/11/2000,5.683,5.683
09/11/2000,5.693,5.693
08/11/2000,5.709,5.709
07/11/2000,5.707,5.707
06/11/2000,5.714,5.714
03/11/2000,5.719,5.719
02/11/2000,5.709,5.709
01/11/2000,5.747,5.747
31/10/2000,5.785,5.785
30/10/2000,5.78,5.78
27/10/2000,5.779,5.779
26/10/2000,5.755,5.755
25/10/2000,5.759,5.759
24/10/2000,5.754,5.754
23/10/2000,5.766,5.766
20/10/2000,5.766,5.766
19/10/2000,5.76,5.76
18/10/2000,5.764,5.764
17/10/2000,5.811,5.811
16/10/2000,5.808,5.808
13/10/2000,5.792,5.792
12/10/2000,5.823,5.823
11/10/2000,5.862,5.862
10/10/2000,5.89,5.89
09/10/2000,5.854,5.854
06/10/2000,5.881,5.881
05/10/2000,5.873,5.873
04/10/2000,5.874,5.874
03/10/2000,5.864,5.864
02/10/2000,5.852,5.852
29/09/2000,5.848,5.848
28/09/2000,5.904,5.904
27/09/2000,5.916,5.916
26/09/2000,5.912,5.912
25/09/2000,5.924,5.924
22/09/2000,5.88,5.88
21/09/2000,5.914,5.914
20/09/2000,5.931,5.931
19/09/2000,5.926,5.926
18/09/2000,5.955,5.955
15/09/2000,5.979,5.979
14/09/2000,5.967,5.967
13/09/2000,5.986,5.986
12/09/2000,5.994,5.994
11/09/2000,5.981,5.981
08/09/2000,5.977,5.977
07/09/2000,5.953,5.953
06/09/2000,5.995,5.995
05/09/2000,6.022,6.022
04/09/2000,6.019,6.019
01/09/2000,6.026,6.026
31/08/2000,6.062,6.062
30/08/2000,6.059,6.059
29/08/2000,6.056,6.056
28/08/2000,6.005,6.005
25/08/2000,6.011,6.011
24/08/2000,6.002,6.002
23/08/2000,6.023,6.023
22/08/2000,6.048,6.048
21/08/2000,6.046,6.046
18/08/2000,6.041,6.041
17/08/2000,6.073,6.073
16/08/2000,6.065,6.065
15/08/2000,6.03,6.03
14/08/2000,6.035,6.035
11/08/2000,5.994,5.994
10/08/2000,5.975,5.975
09/08/2000,5.971,5.971
08/08/2000,5.997,5.997
07/08/2000,5.996,5.996
04/08/2000,6.013,6.013
03/08/2000,6.013,6.013
02/08/2000,6.06,6.06
01/08/2000,6.051,6.051
31/07/2000,6.035,6.035
28/07/2000,6.036,6.036
27/07/2000,5.976,5.976
26/07/2000,5.983,5.983
25/07/2000,6.023,6.023
24/07/2000,6.055,6.055
21/07/2000,6.031,6.031
20/07/2000,6.028,6.028
19/07/2000,5.989,5.989
18/07/2000,5.98,5.98
17/07/2000,5.956,5.956
14/07/2000,5.945,5.945
13/07/2000,5.93,5.93
12/07/2000,5.924,5.924
11/07/2000,5.957,5.957
10/07/2000,5.938,5.938
07/07/2000,5.909,5.909
06/07/2000,5.962,5.962
05/07/2000,5.919,5.919
04/07/2000,5.971,5.971
03/07/2000,6.008,6.008
30/06/2000,6.002,6.002
29/06/2000,6,6
28/06/2000,6.059,6.059
27/06/2000,6.061,6.061
26/06/2000,6.073,6.073
23/06/2000,6.075,6.075
22/06/2000,6.047,6.047
21/06/2000,6.051,6.051
20/06/2000,5.985,5.985
19/06/2000,5.969,5.969
16/06/2000,5.99,5.99
15/06/2000,6.031,6.031
14/06/2000,6.062,6.062
13/06/2000,6.14,6.14
12/06/2000,6.149,6.149
09/06/2000,6.145,6.145
08/06/2000,6.169,6.169
07/06/2000,6.122,6.122
06/06/2000,6.13,6.13
05/06/2000,6.123,6.123
02/06/2000,6.09,6.09
01/06/2000,6.166,6.166
31/05/2000,6.209,6.209
30/05/2000,6.234,6.234
29/05/2000,6.201,6.201
26/05/2000,6.204,6.204
25/05/2000,6.22,6.22
24/05/2000,6.26,6.26
23/05/2000,6.267,6.267
22/05/2000,6.205,6.205
19/05/2000,6.262,6.262
18/05/2000,6.286,6.286
17/05/2000,6.339,6.339
16/05/2000,6.336,6.336
15/05/2000,6.333,6.333
12/05/2000,6.347,6.347
11/05/2000,6.308,6.308
10/05/2000,6.284,6.284
09/05/2000,6.29,6.29
08/05/2000,6.31,6.31
05/05/2000,6.296,6.296
04/05/2000,6.257,6.257
03/05/2000,6.197,6.197
02/05/2000,6.196,6.196
01/05/2000,6.187,6.187
28/04/2000,6.188,6.188
27/04/2000,6.249,6.249
26/04/2000,6.29,6.29
25/04/2000,6.348,6.348
21/04/2000,6.332,6.332
20/04/2000,6.331,6.331
19/04/2000,6.311,6.311
18/04/2000,6.286,6.286
17/04/2000,6.281,6.281
14/04/2000,6.295,6.295
13/04/2000,6.291,6.291
12/04/2000,6.315,6.315
11/04/2000,6.287,6.287
10/04/2000,6.334,6.334
07/04/2000,6.317,6.317
06/04/2000,6.371,6.371
05/04/2000,6.338,6.338
04/04/2000,6.389,6.389
03/04/2000,6.358,6.358
31/03/2000,6.397,6.397
30/03/2000,6.404,6.404
29/03/2000,6.434,6.434
28/03/2000,6.435,6.435
27/03/2000,6.468,6.468
24/03/2000,6.341,6.341
23/03/2000,6.331,6.331
22/03/2000,6.308,6.308
21/03/2000,6.292,6.292
20/03/2000,6.284,6.284
17/03/2000,6.293,6.293
16/03/2000,6.293,6.293
15/03/2000,6.337,6.337
14/03/2000,6.329,6.329
13/03/2000,6.3,6.3
10/03/2000,6.318,6.318
09/03/2000,6.29,6.29
08/03/2000,6.307,6.307
07/03/2000,6.298,6.298
06/03/2000,6.31,6.31
03/03/2000,6.347,6.347
02/03/2000,6.371,6.371
01/03/2000,6.363,6.363
29/02/2000,6.41,6.41
28/02/2000,6.391,6.391
25/02/2000,6.374,6.374
24/02/2000,6.366,6.366
23/02/2000,6.391,6.391
22/02/2000,6.36,6.36
21/02/2000,6.4,6.4
18/02/2000,6.45,6.45
17/02/2000,6.468,6.468
16/02/2000,6.505,6.505
15/02/2000,6.376,6.376
14/02/2000,6.345,6.345
11/02/2000,6.413,6.413
10/02/2000,6.48,6.48
09/02/2000,6.485,6.485
08/02/2000,6.472,6.472
07/02/2000,6.499,6.499
04/02/2000,6.48,6.48
03/02/2000,6.429,6.429
02/02/2000,6.442,6.442
01/02/2000,6.467,6.467
31/01/2000,6.533,6.533
28/01/2000,6.568,6.568
27/01/2000,6.557,6.557
26/01/2000,6.485,6.485
25/01/2000,6.521,6.521
24/01/2000,6.559,6.559
21/01/2000,6.572,6.572
20/01/2000,6.592,6.592
19/01/2000,6.571,6.571
18/01/2000,6.613,6.613
17/01/2000,6.561,6.561
14/01/2000,6.506,6.506
13/01/2000,6.499,6.499
12/01/2000,6.541,6.541
11/01/2000,6.524,6.524
10/01/2000,6.458,6.458
07/01/2000,6.51,6.51
06/01/2000,6.563,6.563
05/01/2000,6.57,6.57
04/01/2000,6.551,6.551
31/12/1999,6.43,6.43
30/12/1999,6.407,6.407
